Actual,Predicted
82792.40011177948,145618.2095686125
210323.1657568032,160308.7023711059
211992.8189336404,164903.28908836955
123079.0861704679,133121.74100781375
165831.7537228781,134996.29598554966
108068.313173001,160753.30339124674
190086.4711233043,172307.92329376476
206158.6574531256,180903.12923827796
208486.9328179797,178165.3442426447
208726.03910168976,188768.12975802697
115512.56626897168,139767.97268664738
200094.1047146848,176552.77673204656
166654.18128706183,182559.47132715676
137096.65061287134,126046.29846944948
125185.09180671848,165209.87568818638
172416.75231449888,210750.70242757138
127023.18215516428,150682.28757068698
134381.7851440895,153799.224111164
151274.20370098168,123251.52156048777
202128.0562389901,178528.0450685679
176664.13268750542,154284.76292379914
168519.31991755913,129811.28031787681
169046.45526727696,148338.21614193532
175970.0656742085,171438.55649960754
178721.35458199188,156544.5012997248
179711.2286817016,194529.6524868289
162620.6255011827,156283.37219187935
122492.59823953985,130259.7114832169
193759.2037628817,201880.03599015705
60072.30794650012,137401.71212425828
27461.86731127708,135409.0838871159
196222.6111879664,197040.11039126504
147717.21773482944,131265.21751889243
203655.75251865567,137893.5066447456
94100.7524308005,139636.52080513324
151928.02926359998,155270.46643360853
213408.215057492,174985.16418369755
98630.42290160769,138110.9491806018
145495.9713438208,141162.5304729321
194411.70766127508,155744.99723016942
201009.69988211617,183302.3281099334
159619.19659003403,147368.29550301362
92482.39797978455,144701.68241695303
173327.66884499864,155900.8106718916
195156.72350789423,141618.42476517148
196591.71279237705,193718.83554200444
110167.44463297838,144607.04455509773
132620.73253008391,162354.76619053952
197891.21264421745,156017.07125096355
207382.17956187547,179835.7763954133
177635.0773400167,168104.27437648753
201077.8707250353,196387.90269053128
155944.26416343256,132344.76475264
211579.2597730585,174870.3863027567
215737.3201669608,219652.89772605375
170513.93051999144,142233.70602203347
165025.3840017776,132050.00469849832
148607.44580514563,161461.19046264543
42159.00376463884,137990.75325817597
180923.44814216715,160743.20464050613
193911.85871865976,189127.38590060733
143831.050256228,150770.02373500436
148920.31391423388,168607.67115783843
96271.48958922536,148911.70281934703
38978.97252957724,137059.70113041182
211933.0281868857,172775.70290448892
198405.96873114863,169002.5436082933
179377.70339810124,175750.45880346667
155627.51999983843,168936.92044103311
178606.4989573346,164328.20496558072
157014.89802231235,148282.2361800118
163057.70200745447,196165.40039714804
183849.1046564968,163366.2532571529
149202.37164131057,141681.9349285187
203660.0047085381,168537.88233301742
186738.9613279208,178653.5481729983
180789.08671926684,203114.95521717553
198973.68683850684,211469.50431123085
211039.4254243248,194750.0613768692
155576.7567840428,168004.08209419445
203993.739298476,171958.47643009678
148186.18149226398,190456.50860044383
81558.90790407405,138239.76110795868
211785.72374380945,186058.7327145623
180636.93917680025,180975.61593195467
168810.80799253436,169757.49477686646
121489.97417167414,166890.95438988652
181310.0523893445,160935.84973069426
202848.5358965613,168024.02975989075
111508.21625265224,160295.31642914563
149265.992388206,180358.68215398613
107346.55184007494,141260.07897267613
205523.71656726065,165894.31778916117
198533.80524673616,168762.70158107392
195624.26654403983,185764.65791062027
150266.61627894748,143195.7152964901
120293.75277467376,194650.11595283877
119032.8829834174,160303.0743520657
201398.7766192673,143115.39613490546
190190.88921241,162995.35835317202
199032.1421895705,160776.33159679934
173679.93877566783,170215.74941386317
150956.71802098496,148866.8635030509
174715.85574304545,189588.54906072287
161350.1941956788,136211.58186447053
128658.7130889388,137200.47163082732
175445.8548909535,144356.78237388725
212517.948478401,186718.5492482405
125326.1467618639,153930.46877045874
150771.48592613888,187192.08890538831
163387.8512619022,163396.58298471096
137990.58858144298,162539.04424418812
141074.02839361285,173559.1562109029
212756.3038179337,217211.84605907116
125536.77229894802,164239.27350078628
190068.76011548005,205413.33257381193
131500.95360538727,138125.00180221032
155480.90971086852,135488.18827432397
177691.62056879932,166356.02419515257
210301.7034650393,178515.07829814515
160397.72105839005,157642.11186313754
110855.90497845333,139015.74196038107
93671.15631334088,146277.1893508081
173509.82362511713,174280.99337300434
163625.79808417207,158291.71640678836
188710.7098382029,200291.90475462162
133643.3552048616,151945.99505432282
95776.09635799252,139384.98275166302
119075.84414635388,138315.80442920994
